,shortName,playerName,team,position,speedMPH,yards,playType,touchdown,penalty,season,seasonType,week,desc
0,T.Hill,Tyreek Hill,KC,WR,21.95,58,reception,1,0,2018,REG,1,"(2:11) (Shotgun) R.Tannehill pass short middle to A.Wilson for 74 yards, TOUCHDOWN."
1,A.Callaway,Antonio Callaway,CLE,WR,21.48,47,reception,1,0,2018,REG,2,"(2:11) (Shotgun) R.Tannehill pass short middle to A.Wilson for 74 yards, TOUCHDOWN."
2,A.Wilson,Albert Wilson,MIA,WR,21.74,74,reception,1,0,2018,REG,3,"(2:11) (Shotgun) R.Tannehill pass short middle to A.Wilson for 74 yards, TOUCHDOWN."
3,T.Hill,Tyreek Hill,KC,WR,21.78,91,punt ret,1,0,2018,REG,1,"(8:57) J.Berry punts 46 yards to TB 17, Center-K.Canaday. D.Jackson for 83 yards, TOUCHDOWN NULLIFIED by Penalty. PENALTY on TB-I.Johnson, Offensive Holding, 9 yards, enforced at TB 17."
4,J.Natson,JoJo Natson,LAR,WR,20.93,60,punt ret,0,0,2018,REG,2,"(8:57) J.Berry punts 46 yards to TB 17, Center-K.Canaday. D.Jackson for 83 yards, TOUCHDOWN NULLIFIED by Penalty. PENALTY on TB-I.Johnson, Offensive Holding, 9 yards, enforced at TB 17."
5,D.Jackson,DeSean Jackson,TB,WR,21.48,0,punt ret,0,1,2018,REG,3,"(8:57) J.Berry punts 46 yards to TB 17, Center-K.Canaday. D.Jackson for 83 yards, TOUCHDOWN NULLIFIED by Penalty. PENALTY on TB-I.Johnson, Offensive Holding, 9 yards, enforced at TB 17."
6,D.Henry,Derrick Henry,TEN,RB,21.46,2,rush,0,1,2018,REG,1,(9:35) M.Ryan pass deep middle to J.Jones to NO 12 for 58 yards (K.Crawley).
7,P.Lindsay,Phillip Lindsay,DEN,RB,20.76,53,rush,0,0,2018,REG,2,(9:35) M.Ryan pass deep middle to J.Jones to NO 12 for 58 yards (K.Crawley).
8,J.Jones,Julio Jones,ATL,WR,21.33,58,reception,0,0,2018,REG,3,(9:35) M.Ryan pass deep middle to J.Jones to NO 12 for 58 yards (K.Crawley).
9,J.Conner,James Conner,PIT,RB,21.03,22,rush,1,0,2018,REG,1,(4:17) T.Ginn right end ran ob at ATL 33 for 20 yards (R.Allen).
